mode,num_seed_chunks,num_graph_papers,num_candidate_chunks,num_final_chunks,citation_coverage,has_page_ranges,retrieval_ms,graph_ms,rerank_ms,generation_ms,total_ms,saved_to
vector_only,5,0,5,5,1.0,True,157.0,0.0,0.0,0.0,157.0,C:\Users\97150\Documents\GitHub\CLPapersAIAgent\notebook_cache\05_graphrag_executor\a394b64d-941e-4b41-835d-b274dac39221_vector_only.json
graph_guided,5,5,15,8,1.0,True,156.48,88.5,0.0,0.0,244.98,C:\Users\97150\Documents\GitHub\CLPapersAIAgent\notebook_cache\05_graphrag_executor\fff70141-8111-45ce-a35e-b5e0670a8e2b_graph_guided.json
hybrid_graphrag,5,5,15,8,1.0,True,102.07,86.11,0.0,0.0,188.18,C:\Users\97150\Documents\GitHub\CLPapersAIAgent\notebook_cache\05_graphrag_executor\b7a70d14-42c9-4314-b8c4-ee133ac75156_hybrid_graphrag.json
